         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      402    0.001    0.000    0.010    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:77(calculate_dependencies)
    94800    0.010    0.000    0.010    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_common.py:31(__hash__)
    10620    0.005    0.000    0.010    0.000 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:178(match)
     2170    0.002    0.000    0.009    0.000 /usr/local/Cellar/python@3.9/3.9.10/Frameworks/Python.framework/Versions/3.9/lib/python3.9/re.py:289(_compile)
  419/409    0.001    0.000    0.009    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:341(visit)
    86364    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
     4400    0.005    0.000    0.009    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:559(_call_rule_func)
    84288    0.009    0.000    0.009    0.000 {method 'upper' of 'str' objects}
      652    0.005    0.000    0.008    0.000 /usr/local/lib/python3.9/site-packages/lark/tree.py:103(iter_subtrees)
      403    0.001    0.000    0.008    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:179(topological_sort)
      798    0.001    0.000    0.008    0.000 /Users/tbarrett/dev/spreadsheet/sheets/spreadsheet.py:164(get_cell_value)
     5600    0.006    0.000    0.008    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:149(children)
      880    0.001    0.000    0.008    0.000 /Users/tbarrett/dev/spreadsheet/sheets/spreadsheet.py:90(get_cell)
        2    0.000    0.000    0.007    0.004 /usr/local/lib/python3.9/site-packages/lark/parsers/grammar_analysis.py:125(__init__)
    13203    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
     4400    0.004    0.000    0.007    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:550(_collapse_ambig)
    14800    0.005    0.000    0.007    0.000 {method 'setdefault' of 'dict' objects}
